KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001100001,T001100002,T001100003,T001100004,T001100005,T001100006,T001100007,T001100008,T001100009,T001100010,T001100011,T001100012,T001100013,T001100014,T001100015,T001100016,T001100017,T001100018,T001100019,T001100020,T001100021,T001100022,T001100023,T001100024,T001100025,T001100026,T001100027,T001100028,T001100029,T001100030,T001100031,T001100032,T001100033,T001100034,T001100035,T001100036,T001100037,T001100038,T001100039,T001100040,T001100041,T001100042,T001100043,T001100044,T001100045,T001100046,T001100047,T001100048,T001100049,T001100050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
53390005,0,,,52,29,23,1,1,0,51,28,23,28,17,11,50,27,23,49,26,23,23,11,12,8,3,5,0,0,0,0,0,0,0,0,0,21,21,4,7,8,1,0,1,0,17,15,2,0,16,0,3,6
53390006,2,53390007,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
53390007,1,,53390006,147,68,79,11,4,7,139,66,73,69,35,34,136,64,72,135,64,71,70,31,39,35,14,21,14,7,7,3,1,2,1,0,1,52,52,6,21,13,9,3,2,0,48,35,13,2,41,0,5,15
53390008,0,,,783,394,389,105,57,48,676,337,339,392,203,189,650,316,334,637,313,324,284,134,150,146,68,78,38,17,21,1,0,1,4,3,1,280,280,54,81,62,51,18,11,3,225,177,48,26,182,1,36,56
53390009,0,,,3764,1791,1973,507,267,240,3252,1524,1728,2164,1064,1100,3148,1477,1671,3072,1446,1626,1088,460,628,596,244,352,188,51,137,13,1,12,33,21,12,1399,1395,279,458,302,242,81,24,9,1097,965,132,134,642,18,125,209
53390015,0,,,244,120,124,15,8,7,229,112,117,140,73,67,221,110,111,217,108,109,89,39,50,45,18,27,10,4,6,2,0,2,0,0,0,90,90,13,31,26,11,7,2,0,77,63,14,2,59,0,9,21
53390016,0,,,378,185,193,31,16,15,347,169,178,180,85,95,341,167,174,334,165,169,167,84,83,90,43,47,27,18,9,1,0,1,1,0,1,139,139,24,58,23,16,5,11,2,115,86,29,9,107,0,13,36
53390017,0,,,126,65,61,8,3,5,118,62,56,57,32,25,118,62,56,116,61,55,61,30,31,29,13,16,8,4,4,1,0,1,0,0,0,49,49,9,18,12,6,3,1,0,40,30,10,2,41,0,7,8
53390018,0,,,1052,468,584,78,39,39,973,428,545,430,227,203,951,415,536,938,404,534,543,201,342,380,131,249,165,35,130,32,3,29,2,0,2,301,298,51,117,52,37,27,10,4,244,193,51,14,202,1,34,71
53390019,0,,,743,328,415,53,25,28,690,303,387,267,138,129,666,288,378,651,282,369,423,165,258,299,109,190,153,41,112,26,1,25,5,1,4,163,162,31,41,36,28,17,8,1,131,101,30,10,103,1,20,22
53390020,0,,,322,154,168,37,19,18,285,135,150,159,85,74,281,134,147,275,129,146,126,50,76,66,21,45,24,2,22,3,0,3,5,5,0,123,123,35,36,23,11,10,4,4,88,56,32,5,86,4,20,16
53390021,2,53390022,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
53390022,1,,53390021,8,5,3,1,1,0,11,6,5,6,4,2,11,6,5,11,6,5,5,2,3,2,0,2,1,0,1,0,0,0,0,0,0,3,3,0,3,2,0,0,0,0,5,4,1,1,3,0,0,1
